id_indicator,id_parent_indicator,slug,name,id_dimension,id_granularity,explanation,potential_use,assumptions,desired_value,function_name,formalization_latex,formalization_fp,description_fp
1,,active-time-case-granularity-t-c,Active Time (case granularity),5,2,Difference between the lead time and the idle time of a case.,Event log that contains lifecycle information for activity instances where the actual time that the case is active is of interest.,Maximizing active time is desirable.,maximize,\(\mathit{AT(c)\),\(\mathit{LT(c) - \mathit{IT(c)\),\(\mathit{LT(c) - \mathit{IT(c)\),"\(\mathit{LT(c)\) returns the Lead Time (time from case start to completion) of case \(c\).
\newline \(\mathit{IT(c)\) returns the Idle Time (total time spent waiting or idle) of case \(c\). \\"
2,,activity-and-role-count-ratio-case-granularity-f-c,Activity and Role count Ratio (case granularity),2,2,"Ratio between the number of activities that occur in a case, and the number of human resource roles that are involved in the execution of a case.",Process where several roles are involved.,Minimizing the number of human resource roles involved in the execution of the case is desirable.,maximize,\(\mathit{ARoleR(c)\),\(\frac{\mathit{A(c)}{\mathit{Role(c)}\),\(\frac{\mathit{A(c)}{\mathit{Role(c)}\),"\(\mathit{A(c)\) returns the number of unique activities in case \(c\).
\newline \(\mathit{Role(c)\) returns the number of unique roles involved in case \(c\). \\"
3,,activity-and-role-count-ratio-group-of-cases-granularity-f-g,Activity and Role count Ratio (group of cases granularity),2,3,"Ratio between the number of activities that occur in a group of cases, and the number of human resource roles that are involved in the execution of a group of cases.",Process where several roles are involved.,Minimizing the number of human resource roles involved in the execution of a group of cases is desirable.,maximize,\(\mathit{ARoleR(g)\),\(\frac{\mathit{A(g)}{\mathit{Role(g)}\),\(\frac{\mathit{A(g)}{\mathit{Role(g)}\),"\(\mathit{A(g)\) returns the number of unique activities in group \(g\).
\newline \(\mathit{Role(g)\) returns the number of unique roles involved in group \(g\). \\"
4,,activity-count-case-granularity-g-c,Activity count (case granularity),3,2,Number of activities that occur in a case.,Calculation of several other PPIs.,,,\(\mathit{A(c)\),\(|\mathit{act(c)|\),\(\mathit{count(\mathit{act(c))\),$\mathit{act(c)$ returns the set of unique activities that occur in case $c$. \\
5,,activity-count-group-of-cases-granularity-g-g,Activity count (group of cases granularity),3,3,Number of activities that occur in a group of cases.,Calculation of several other PPIs.,,,\(\mathit{A(g)\),\(|\cup_{c \in g} \mathit{act(c)|\),\(\mathit{count(\mathit{act(g))\),$\mathit{act(g)$ returns the set of unique activities that occur in group of cases $g$. \\
6,,activity-count-case-granularity-t-c,Activity count (case granularity),5,2,Number of activities that occur in a case.,"If the event log does not contain timestamps, Activity count can be used as a proxy for the time performance of a case.",A greater number of activities implies that the case takes longer to complete.,minimize,\(\mathit{A(c)\),\(|\mathit{act(c)|\),\(\mathit{count(\mathit{act(c))\),"$\mathit{act(c)$ returns the set of unique activities that occur in case $c$.
\\"
7,,activity-count-group-of-cases-granularity-t-g,Activity count (group of cases granularity),5,3,Number of activities that occur in a group of cases.,"If the event log does not contain timestamps, Activity count can be used as a proxy for the time performance of a group of cases.",A greater number of activities implies that the cases in a group of cases take longer to complete.,minimize,\(\mathit{A(g)\),\(|\cup_{c \in g} \mathit{act(c)|\),\(\mathit{count(\mathit{act(g))\),"$\mathit{act(g)$ returns the set of unique activities that occur in group of cases $g$.
\\"
8,,activity-instance-and-human-resource-count-ratio-activity-granularity-f-a,activity Instance and Human Resource count Ratio (activity granularity),2,1,"Ratio between the number of times that an activity is instantiated in the event log, and the number of human resources that are involved in the execution of an activity in the event log.",Process where several human resources are involved.,Minimizing the number of human resources involved in the execution of an activity is desirable.,maximize,\(\mathit{IHRR(a)\),\(\frac{\mathit{I(a)}{\mathit{HR(a)}\),\(\frac{\mathit{I(a)}{\mathit{HR(a)}\),"\(\mathit{I(a)\) returns the total number of instances of activity \(a\).
\newline \(\mathit{HR(a)\) returns the number of unique human resources that performed activity \(a\). \\"
9,,activity-instance-and-human-resource-count-ratio-case-granularity-f-c,activity Instance and Human Resource count Ratio (case granularity),2,2,"Ratio between the number of times that any activity is instantiated in a case, and the number of human resources that are involved in the execution of a case.",Process where several human resources are involved.,Minimizing the number of human resources involved in the execution of a case is desirable.,maximize,\(\mathit{IHRR(c)\),\(\frac{\mathit{I(c)}{\mathit{HR(c)}\),\(\frac{\mathit{I(c)}{\mathit{HR(c)}\),"\(\mathit{I(c)\) returns the total number of activity instances in case \(c\).
\newline \(\mathit{HR(c)\) returns the number of unique human resources involved in case \(c\). \\"
10,,activity-instance-and-human-resource-count-ratio-group-of-cases-granularity-f-g,activity Instance and Human Resource count Ratio (group of cases granularity),2,3,"Ratio between the number of times that any activity is instantiated in a group of cases, and the number of human resources that are involved in the execution of a group of cases.",Process where several human resources are involved.,Minimizing the number of human resources involved in the execution of a group of cases is desirable.,maximize,\(\mathit{IHRR(g)\),\(\frac{\mathit{I(g)}{\mathit{HR(g)}\),\(\frac{\mathit{I(g)}{\mathit{HR(g)}\),"\(\mathit{I(g)\) returns the total number of activity instances in group \(g\).
\newline \(\mathit{HR(g)\) returns the number of unique human resources involved in group \(g\). \\"
11,,activity-instance-count-activity-granularity-g-a,activity Instance count (activity granularity),3,1,Number of times that an activity is instantiated in the event log.,Calculation of several other PPIs.,,,\(\mathit{I(a)\),\(|\mathit{inst(a)|\),\(\mathit{count(\mathit{inst(a))\),$\mathit{inst(a)$ returns the set of instances of activity $a$ that occur in the event log. \\
12,,activity-instance-count-case-granularity-g-c,activity Instance count (case granularity),3,2,Number of times that any activity is instantiated in a case.,Calculation of several other PPIs.,,,\(\mathit{I(c)\),\(|\mathit{inst(c)|\),\(\mathit{count(\mathit{inst(c))\),$\mathit{inst(c)$ returns the set of activity instances that occur in case $c$.\\
13,,activity-instance-count-group-of-cases-granularity-g-g,activity Instance count (group of cases granularity),3,3,Number of times that any activity is instantiated in a group of cases.,Calculation of several other PPIs.,,,\(\mathit{I(g)\),\(\sum _{c \in g} \mathit{I(c)\),\(\sum _{c \in \mathit{cases(g)} \mathit{I(c)\),"$\mathit{cases(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{I(c)$ returns the activity instance count of case $c$. \\"
14,,activity-instance-count-case-granularity-t-c,activity Instance count (case granularity),5,2,Number of times that any activity is instantiated in a case.,"If the event log does not contain timestamps, activity Instance count can be used as a proxy for the time performance of a case.",A greater number of activity instances implies that the case takes longer to complete.,minimize,\(\mathit{I(c)\),\(|\mathit{inst(c)|\),\(\mathit{count(\mathit{inst(c))\),"$\mathit{inst(c)$ returns the set of activity instances that occur in case $c$.
\\"
