Indicator	Dimension	Granularity	Params	Formalization_fp	Description_fp
Activity count (case granularity)	G	C	\(\mathit{A(c)\)	\(\mathit{count(\mathit{act(c))\)	$\mathit{act(c)$ returns the set of unique activities that occur in case $c$. \\
Activity count (group of cases granularity)	G	G	\(\mathit{A(g)\)	\(\mathit{count(\mathit{act(g))\)	$\mathit{act(g)$ returns the set of unique activities that occur in group of cases $g$. \\
Expected Activity count	G	G	\(\mathit{e\mathit{A(g)\)	\(\frac{\sum _{c \in \mathit{cases(g)} \mathit{A(c)}{\mathit{C(g)}\)	"$\mathit{cases(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{A(c)$ returns the activity count of case $c$.
\newline $\mathit{C(g)$ returns the case count of group of cases $g$. \\"
activity Instance count (activity granularity)	G	A	\(\mathit{I(a)\)	\(\mathit{count(\mathit{inst(a))\)	$\mathit{inst(a)$ returns the set of instances of activity $a$ that occur in the event log. \\
activity Instance count (case granularity)	G	C	\(\mathit{I(c)\)	\(\mathit{count(\mathit{inst(c))\)	$\mathit{inst(c)$ returns the set of activity instances that occur in case $c$.\\
activity Instance count (group of cases granularity)	G	G	\(\mathit{I(g)\)	\(\sum _{c \in \mathit{cases(g)} \mathit{I(c)\)	"$\mathit{cases(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{I(c)$ returns the activity instance count of case $c$. \\"
Expected activity Instance count	G	G	\(\mathit{e\mathit{I(g)\)	\(\frac{\mathit{I(g)}{\mathit{C(g)}\)	"$\mathit{I(g)$ returns the activity instance count of group of cases $g$.
\newline $\mathit{C(g)$ returns the case count of group of cases $g$.\\"
Case count (group of cases granularity)	G	G	\(\mathit{C(g)\)	\(\mathit{count(\mathit{cases(g))\)	$\mathit{cases(g)$ returns the set of cases in group of cases $g$. \\
Human Resource count (activity granularity)	G	A	\(\mathit{HR(a)\)	\(\mathit{count(\mathit{hres(a))\)	$\mathit{hres(a)$ returns the set of human resources that perform activity $a$ in the event log. \\
Human Resource count (case granularity)	G	C	\(\mathit{HR(c)\)	\(\mathit{count(\mathit{hres(c))\)	$\mathit{hres(c)$ returns the set of human resources that work in case $c$. \\
Human Resource count (group of cases granularity)	G	G	\(\mathit{HR(g)\)	\(\mathit{count(\mathit{hres(g))\)	$\mathit{hres(g)$ returns the set of human resources that work in group of cases $g$. \\
Expected Human Resource count	G	G	$e$\(\mathit{HR(g)\)	\(\frac{\sum _{c \in \mathit{cases(g)} \mathit{HR(c)}{\mathit{C(g)}\)	"$\mathit{cases(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{HR(c)$ returns the human resource count of case $c$.
\newline $\mathit{C(g)$ returns the case count of group of cases $g$. \\"
Resource count (activity granularity)	G	A	\(\mathit{R(a)\)	\(\mathit{count(\mathit{res(a))\)	$\mathit{res(a)$ returns the set of resources used for activity $a$ in the event log. \\
Resource count (case granularity)	G	C	\(\mathit{R(c)\)	\(\mathit{count(\mathit{res(c))\)	$\mathit{res(c)$ returns the set of resources used in case $c$. \\
Resource count (group of cases granularity)	G	G	\(\mathit{R(g)\)	\(\mathit{count(\mathit{res(g))\)	$\mathit{res(g)$ returns the set of resources used in group of cases $g$. \\
Expected Resource count	G	G	$e$\(\mathit{R(g)\)	\(\frac{\sum _{c \in \mathit{cases(g)} \mathit{R(c)}{\mathit{C(g)}\)	"$\mathit{cases(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{R(c)$ returns the resource count of case $c$.
\newline $\mathit{C(g)$ returns the case count of group of cases $g$. \\"
Role count (case granularity)	G	C	\(\mathit{Role(c)\)	\(\mathit{count(\mathit{role(c))\)	$\mathit{role(c)$ returns all roles involved in case $c$. \\
Role count (group of cases granularity)	G	G	\(\mathit{Role(g)\)	\(\mathit{count(\mathit{role(g))\)	$\mathit{role(g)$ returns the set of roles involved in group of cases \(g\). \\
Expected Role count	G	G	\(\mathit{e\mathit{Role(g)\)	\(\frac{\sum_{c \in \mathit{cases(g)} \mathit{Role(c)}{\mathit{C(g)}\)	"$\mathit{cases(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{Role(c)$ returns the role count of case $c$.
\newline$\mathit{C(g)$ returns the case count of group of cases $g$. \\"
Active Time (case granularity)	T	C	\(\mathit{AT(c)\)	\(\mathit{LT(c) - \mathit{IT(c)\)	"\(\mathit{LT(c)\) returns the Lead Time (time from case start to completion) of case \(c\).
\newline \(\mathit{IT(c)\) returns the Idle Time (total time spent waiting or idle) of case \(c\). \\"
Expected Active Time (group of cases granularity)	T	G	\(\mathit{e\mathit{AT(g)\)	\(\frac{\sum _{c \in g} \mathit{AT(c)}{\mathit{C(g)}\)	"\(\mathit{AT(c)\) returns the Active Time of case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Activity count (case granularity)	T	C	\(\mathit{A(c)\)	\(\mathit{count(\mathit{act(c))\)	"$\mathit{act(c)$ returns the set of unique activities that occur in case $c$.
\\"
Activity count (group of cases granularity)	T	G	\(\mathit{A(g)\)	\(\mathit{count(\mathit{act(g))\)	"$\mathit{act(g)$ returns the set of unique activities that occur in group of cases $g$.
\\"
Expected Activity count	T	G	\(\mathit{e\mathit{A(g)\)	\(\frac{\sum _{c \in \mathit{cases(g)} \mathit{A(c)}{\mathit{C(g)}\)	"$\mathit{cases(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{A(c)$ returns the activity count of case $c$.
\newline $\mathit{C(g)$ returns the case count of group of cases $g$.
\\"
activity Instance count (case granularity)	T	C	\(\mathit{I(c)\)	\(\mathit{count(\mathit{inst(c))\)	"$\mathit{inst(c)$ returns the set of activity instances that occur in case $c$.
\\"
